link,title,price,rating,review
/Lapis-Lupo-Flower-Embroidery-Handbag/dp/B07RXYSJHF/ref=sxin_24?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B07RXYSJHF&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B07RXYSJHF&pd_rd_r=4cf2547a-0197-4302-b2fc-1e4be47b378a&pd_rd_w=AEkqb&pd_rd_wg=2YGGD&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=SJ3AWDERFG4XV5QMCWZV&qid=1676115378&sprefix=ba%2Caps%2C283&sr=1-4-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21#customerReviews,Lapis O Lupo Women Vegan Leather Handbags Flower Embroidered Bags Fashion Satchel Bags Top Handle,"₹1,039.00",4.2 out of 5 stars,"3,604 ratings"
/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB5DP5Y/ref=sxin_25_trfob_0_B09SB5DP5Y?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09SB5DP5Y&pd_rd_r=4cf2547a-0197-4302-b2fc-1e4be47b378a&pd_rd_w=4YKRH&pd_rd_wg=2YGGD&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=SJ3AWDERFG4XV5QMCWZV&qid=1676115378&sprefix=ba%2Caps%2C283&sr=1-1-cc7a04fe-cc55-42ad-b883-1b910070c86a#customerReviews,,,,
/School-Backpack-Cartoon-Travel-Toddler/dp/B08WWG91Q3/ref=sxin_25_trfob_1_B08WWG91Q3?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08WWG91Q3&pd_rd_r=4cf2547a-0197-4302-b2fc-1e4be47b378a&pd_rd_w=4YKRH&pd_rd_wg=2YGGD&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=SJ3AWDERFG4XV5QMCWZV&qid=1676115378&sprefix=ba%2Caps%2C283&sr=1-2-cc7a04fe-cc55-42ad-b883-1b910070c86a#customerReviews,,,,
/gp/goldbox/,,,,
/Blue-Tree-Velvet-Spiderman-School/dp/B07HLYW3FF/ref=sxin_25_trfob_2_B07HLYW3FF?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07HLYW3FF&pd_rd_r=4cf2547a-0197-4302-b2fc-1e4be47b378a&pd_rd_w=4YKRH&pd_rd_wg=2YGGD&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=SJ3AWDERFG4XV5QMCWZV&qid=1676115378&sprefix=ba%2Caps%2C283&sr=1-3-cc7a04fe-cc55-42ad-b883-1b910070c86a#customerReviews,Blue Tree 10 Ltrs ( Cms)Backpack(Bluetree_Backpacks_034_Multi Colour),₹288.00,4.0 out of 5 stars,"1,045 ratings"
/gp/goldbox/,,,,
/Blue-Tree-Backpack-Cartoon-Toddler/dp/B097NJV1WY/ref=sxin_25_trfob_3_B097NJV1WY?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B097NJV1WY&pd_rd_r=4cf2547a-0197-4302-b2fc-1e4be47b378a&pd_rd_w=4YKRH&pd_rd_wg=2YGGD&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=SJ3AWDERFG4XV5QMCWZV&qid=1676115378&sprefix=ba%2Caps%2C283&sr=1-4-cc7a04fe-cc55-42ad-b883-1b910070c86a#customerReviews,,,,
/gp/goldbox/,,,,
/Backpack-Toddler-Animal-Cartoon-Elephant/dp/B089W1H71S/ref=sxin_25_trfob_4_B089W1H71S?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B089W1H71S&pd_rd_r=4cf2547a-0197-4302-b2fc-1e4be47b378a&pd_rd_w=4YKRH&pd_rd_wg=2YGGD&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=SJ3AWDERFG4XV5QMCWZV&qid=1676115378&sprefix=ba%2Caps%2C283&sr=1-5-cc7a04fe-cc55-42ad-b883-1b910070c86a#customerReviews,blue tree 18 ltrs (38 Cms) backpack(INVALID DATA_grey),₹288.00,4.0 out of 5 stars,206 ratings
/gp/goldbox/,,,,
